ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
Pikespeak,"Analytics,DApps,Explorers,Utilities",Supercharging Web 3 users with powerful analytics.,https://awesomenear.com/pikespeak,NEAR,,https://awesome-near.s3.amazonaws.com/pikespeak.jpg,https://pikespeak.ai/,,,,,https://twitter.com/pikespeak_ai,,,,,,,,,,," Access to live and historical data with visualisations of the most fundamental Web 3 use cases. Pikespeak is a user-centric (vs transaction-oriented) analytics solution, focusing on user engagement with the most successful applications: DeFi, DAOs, NFTs, Gaming, etc.",,
Boca Chica,"Aurora,DeFi,Launchpads",New Cutting-edge IDO platform.,https://awesomenear.com/bocachica,"NEAR,AURORA",(CHICA),https://awesome-near.s3.amazonaws.com/bocachica.jpg,https://bocachica.io/,,,,,https://twitter.com/bocachica_io,,https://t.me/BocaChicaAnnouncement,,,https://medium.com/boca-chica,,,,,," Boca Chica is the premier IDO platform that leverages the power of NEAR blockchain and its consensus algorithm to deliver unique, frictionless and safe fundraising avenue for retail as well as Capital Investors. Boca Chica exclusively takes under purview NEAR-based projects and offers them immediate fundraising opportunities. Despite the galore of IDO platforms currently available, Boca Chica possesses stand-out qualities that sets it apart from one of them being tokenless structure.",NEAR Grant,
Upshot One,"NFT,OWC",Question & Answer Protocol.,https://awesomenear.com/upshot-one,NEAR,,https://awesome-near.s3.amazonaws.com/upshot-one.jpg,https://upshot.io,,,,,https://twitter.com/UpshotHQ,,,https://discord.com/invite/upshot,,https://medium.com/upshothq,,,,,," Upshot One is a decentralized question & answer protocol that, leveraging peer prediction, is able to identify honesty in answers to questions and pay people based on how honest they are. Investors: Mechanism Capital, Delphi Ventures, CMS Holdings, Framework Ventures, Draper Associates, Distributed Global, Slow Ventures, Polychain Capital, Gmoney, CoinFund, Blockchain Capital...",,
DODO,"Aurora,DApps,DeFi,DEX,Exchanges",Decentralized Trading Protocol for Web3.,https://awesomenear.com/dodo,AURORA,(DODO),https://awesome-near.s3.amazonaws.com/dodo.jpg,https://dodoex.io/,https://app.ref.finance/#wrap.near|43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd.factory.bridge.near,,https://app.dodoex.io/,,https://twitter.com/BreederDodo,https://github.com/dodoex,https://t.me/dodoex_official,,,,https://blog.dodoex.io/,https://explorer.near.org/accounts/43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd.factory.bridge.near,https://aurorascan.dev/address/0xe301ed8c7630c9678c39e4e45193d1e7dfb914f7,https://etherscan.io/address/0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,," DODO is a new generation of on-chain liquidity solutions, which uses the proactive market maker algorithm (PMM) to provide pure on-chain and contract-fillable liquidity. DODO accepts liquidity providers (LP) assets. It gathers funds near the market price to provide sufficient liquidity. LP may face counterparty risk, so DODO will dynamically adjust the price to encourage arbitrageurs step in to limit the counterparty risk and keep the portfolio of the capital pool unchange. Investors: Puzzle Ventures, Shata Capital, CMS Holdings, Longhash Ventures, Framework Ventures, D1 Ventures, Maple Leaf Capital, Three Arrows Capital, SevenX Ventures, Republic Capital, BTC12 Capital, The Force Partners, Alameda Research, One Max Capital, Infinite Decentralization Capital, Binance Labs, Primitive Ventures, IOSG Ventures, Galaxy Digital, Origin Capital, Coinbase Ventures, Bella, DeFiance Capital, PANTERA Capital...",NEAR Grant,https://awesomenear.com/articles/dodo-launches-on-aurora
BATTLEMON,"DApps,Gaming,NFT",Battle NFT PVP third-person shooter P2E Rent2E.,https://awesomenear.com/battlemon,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/battlemon.jpg,https://battlemon.com/,,,,,https://twitter.com/BATTLEM0N,https://github.com/battlemon-project,https://t.me/Battlemon,https://discord.com/invite/RRA8fsakgj,,https://medium.com/@Battlemon,,,,,," Battlemon is a competitive third-person shooter. A variety of weapons, use the attachment modules to your taste. Each character in the game is unique and is an NFT. Exciting battles 1vs1, 5vs5, Free for all. Customization, the ability to rent your characters and much more awaits you.
The project is built on Unreal Engine 5 and NEAR blockchain, which will provide amazing performance and instant work!",,
Onomy Protocol,"DApps,DeFi,DEX,Exchanges","Powering ONEX, a multi-chain DEX converging Forex and Decentralized Finance.",https://awesomenear.com/onomy-protocol,"COMING SOON,AURORA",(NOM),https://awesome-near.s3.amazonaws.com/onomy-protocol.jpg,https://onomy.io/,,,,,https://twitter.com/OnomyProtocol,https://github.com/onomyprotocol/,https://t.me/onomyprotocol,https://discord.com/invite/27r73SYAkQ,,https://medium.com/onomy-protocol,https://docs.onomy.io/,,,,," Onomy brings unprecedented integration between traditional currencies and decentralized finance. An application-specific blockchain powering an orderbook + AMM decentralized exchange that enables users to trade cryptocurrencies cross-chain. Through ecosystem support of stablecoins representing various national currencies, Onomy intends to converge the $6.6T per day Forex market with the decentralized finance cryptocurrency market. Onomy is multi-chain at its core, built as part of the Cosmos Ecosystem. Onomy will leverage the inter-blockchain communication protocol to connect with other Cosmos chains, and additionally implements bridges between blockchains like Ethereum, Avalanche, NEAR, and more EVM + non-EVM chains TBA. This enables access accross chains. Onomy has an extreme focus on user experienece through all of its carefully crafted ecosystem products, of which has been contributed to by a global community. Users can easily manage assets from all chains, including NFT collections, via Onomy Access - a multi-chain mobile app wallet enabling Single Sign On via QR code when using dApps. No more need for convulted browser extensions or managing various wallets. Efficiently trade digital assets on the decentralized Onomy Exchange (ONEX) supporting both AMM and orderbook trading (limit orders, stop loss, market), and mint decentralized stablecoins through the Onomy Reserve (ORES) using NOM, the protocol token, as collateral.",,
Spark Pool,"Infrastructure,Validators",The keeper of blockchain networks.,https://awesomenear.com/spark-pool,NEAR,,https://awesome-near.s3.amazonaws.com/spark-pool.jpg,https://www.sparkpool.com/,,https://wallet.near.org/staking/sparkpool.poolv1.near,,https://www.facebook.com/sparkpool.eth,https://twitter.com/sparkpool_eth,,https://t.me/Ethersparkpool,,,https://medium.com/@Eth_SparkPool,,,,,," Professional ETH mining pool, We have global servers with secure, professional, efficient services.",,
IDEO CoLab,"Infrastructure,Validators",CoLab is IDEO's platform for collaborative impact.,https://awesomenear.com/ideo-colab,NEAR,,https://awesome-near.s3.amazonaws.com/ideo-colab.jpg,https://www.ideocolab.com,,https://wallet.near.org/staking/ideocolabventures.poolv1.near,,,https://twitter.com/ideocolab,,,,,https://medium.com/ideo-colab,,,,,," CoLab is IDEO's platform for collaborative impact. We connect organizations to shape technology's impact on the world. Together, we design the future.",,
HashQuark,"Infrastructure,Validators","New generation of blockchain mining focused on PoS, DPoS.",https://awesomenear.com/hashquark,NEAR,,https://awesome-near.s3.amazonaws.com/hashquark.jpg,https://www.hashquark.io,,https://wallet.near.org/staking/hashquark.poolv1.near,,https://www.facebook.com/hash.quark,https://twitter.com/hashquark,https://github.com/hashquark-research,https://t.me/hashquark,,,https://medium.com/@hashquark,,,,,," HashQuark is committed to creating a safe, efficient, stable and convenient blockchain mining pool. We select public blockchains of PoS, DPoS and other consensus mechanisms, providing 7*24 hours protection and maximizing mining efficiency with our professional teams. Safety and efficiency are our ultimate pursuits, and HashQuark is committed to being the benchmark for blockchain mines of new generations. HashQuark is a new generation of blockchain mines which remains focused on PoS, DPoS and other consensus mechanisms, and provides mining services to users in a safe, transparent and efficient way.  Mining via HashQuark is extremely easy and only takes users a few minutes. It does not require the use of a professional mining machine or any command of technical knowledge.",,
INC4,"Ecosystem,Guilds,Infrastructure,Validators",Delivering blockchain and IT solutions for businesses.,https://awesomenear.com/inc4,NEAR,,https://awesome-near.s3.amazonaws.com/inc4.jpg,https://inc4.net/,,https://wallet.near.org/staking/inc4.poolv1.near,,,https://twitter.com/INC_4_,,https://t.me/inc4stakingen,,,,,,,,," INC4 is a staking provider with over 112 000 000 tokens staked in its projects, which provides 24/7 support and highly available infrastructure for its stakers. With INC4 Staking, users can employ the fullest extent of their investments. INC4 Staking service is backed by the professional developers of the INC4 company that crafted various blockchain projects, including mining pool Minerall with 20+ nodes operated with a total of 100% uptime.  We are longtime supporters of NEAR, and our team consists of engaged NEAR enthusiasts. We have created the INC4 Guild - NEAR Protocols’ first Custom Development Guild servicing the NEAR Ecosystem.",,
CHORUS,"Infrastructure,Validators",Chorus One is building and operating validators on Proof-of-Stake networks.,https://awesomenear.com/chorus,NEAR,,https://awesome-near.s3.amazonaws.com/chorus.jpg,https://chorus.one,,https://wallet.near.org/staking/chorusone.poolv1.near,,,https://twitter.com/chorusone,https://github.com/ChorusOne,https://t.me/joinchat/Gg9t6lE78Knwbfr0wHwXKA,,,https://medium.com/chorus-one,,,,,," Chorus One is operating validating nodes and staking services for Proof-of-Stake blockchain networks.  Our products enable token holders to earn interest on their cryptoassets and to shape the evolution of the decentralized networks they are invested in. We are a community of ambitious, self-reflective people building core infrastructure for blockchain protocols. We believe cryptoeconomics and decentralized networks will enable peer-to-peer collaboration at scale and propel the next stage of human evolution. The technology we build is replacing inefficient legacy structures based on coercion with an emerging open financial system facilitating efficiency and permissionless innovation.",,
stakefish,"Infrastructure,Validators",Stake. Learn. Earn.,https://awesomenear.com/stakefish,NEAR,,https://awesome-near.s3.amazonaws.com/stakefish.jpg,https://stake.fish/,,https://wallet.near.org/staking/fish.poolv1.near,,,https://twitter.com/stakefish,,https://t.me/stakefish,,,,,,,,," stakefish is the leading validator for Proof of Stake blockchains. Delegate to us, stake with us. We know staking. Pool your digital assets with stake.fish and watch them grow. Our top-notch security and white-glove support protects you from risk while granting peace of mind. Running a validator requires significant amounts of expertise, time, and capital. While potentially lucrative, staking tokens exposes validators to security risks and technical difficulties. Bitfish staking services shield the user from risk while providing the necessary infrastructure for PoS blockchains to flourish. Sit back, relax, and sleep well as your assets generate income.",,
TORUS,"Dev Tooling,Identity,Infrastructure",Frictionless Logins for DApps.,https://awesomenear.com/torus,NEAR,,https://awesome-near.s3.amazonaws.com/torus.jpg,https://tor.us/,,,,https://www.facebook.com/TorusProtocol/,https://twitter.com/TorusLabs,https://github.com/torusresearch,https://t.me/TorusLabs/,,,https://medium.com/toruslabs/,,,,,," A simple and secure gateway to the decentralized ecosystem via Google or Facebook OAuth logins. Easy for users, easy for dapps, blockchain agnostic. User experience for key management with blockchain and cryptocurrency platforms need to improve to achieve mainstream adoption. Do away with complicated tools and interfaces and onboard users directly to what your dApp offers. Torus allows users to login to your dApp with their OAuth accounts, Google and Facebook, to derive their private keys in a trustless manner. Torus is built and designed to be trustless. An individual’s identity and keys are fully protected and not controlled by a central authority. Torus decentralised key generation system distributes user keys with proof mechanisms set in place to prevent and punish malicious activity. The management of user keys is encoded into a smart contract layer, whilst the bulk of transactions are conducted via private channels off chain.",,
NEAR Redpackets,DApps,Based on NEAR Linkdrop.,https://awesomenear.com/near-redpackets,NEAR,,https://awesome-near.s3.amazonaws.com/near-redpackets.jpg,https://redpacket.near.org/,,,,,,https://github.com/near/near-redpacket,,,,,,,,,," NEAR Redpackets, based on NEAR Linkdrop. The app allows you to give people NEAR accounts that are prefunded with NEAR tokens. This is better than just a vanilla Linkdrop because it allows you to queue up multiple of them and it has a nice UI for the recipient. The app does this by sending funds to the Linkdrop contract which will create ""Drops"". You will have a list of these in local storage and you can remove them at any time. This claims the funds back to your current account.",,
PlayEmber,"Dev Tooling,Gaming,GameFi",Building X-chain GameFi infrastructure to mass onboard Web2 gamers to Web3.,https://awesomenear.com/playember,NEAR,,https://awesome-near.s3.amazonaws.com/playember.jpg,https://playember.com/,,,,https://www.facebook.com/playember,https://twitter.com/play_ember,,,,,,https://playember.gitbook.io/,,,,," At playEmber we’re all about taking that initial ember of an idea and making it into a roaring hit of a game! With years of knowledge in the hyper casual and casual gaming space we're in a perfect position to slingshot games to millions of players and keep them profitable. With Ember Coin our Web3 arm to the business: Utilising our 100 Million Downloads to date and our mobile gaming expertise, we will add a Play & Earn element to our mobile games along with allowing external F2P game studios the tech to join the P&E EmberCoin ecosystem.",NEAR Grant,
Infura,"Data,Dev Tooling,Infrastructure",The World’s Most Powerful Blockchain Development Suite.,https://awesomenear.com/infura,NEAR,,https://awesome-near.s3.amazonaws.com/infura.jpg,https://infura.io/,,,,https://www.facebook.com/infura.io/,https://twitter.com/infura_io,https://github.com/INFURA,,https://discord.com/invite/EcVRfRuqQX,,,,,,,," By integrating with NEAR Network, Infura developers will have greater access to a carbon-neutral ecosystem with minimal environmental footprint. Because NEAR operates on a unique sharded blockchain called Nightshade, it has limitless scaling capabilities allowing transaction-heavy decentralized applications to function effortlessly with low fees. Transactions are processed at 14 tps on Ethereum and 7 tps on Bitcoin. As it stands, NEAR embodies similar characteristics as the Ethereum 2.0 roadmap, including PoS and shard chains. Additionally, the partnership allows developers to build decentralized applications using popular programming languages such as Rust and AssemblyScript as well as provides developers access to superior learning resources. By integrating with the NEAR Protocol, Infura provides developers building on its platform greater access to a carbon-neutral ecosystem with minimal environmental footprint.",,https://awesomenear.com/articles/leading-ethereum-development-platform-infura-partners-with-near-protocol-marking-expansion-as-a-multi-chain-connector;https://awesomenear.com/articles/aurora-partners-with-consensys-metamask-infura-ethereum-tools-near;https://awesomenear.com/articles/infura-brings-its-leading-eth-dev-platform-to-near-protocol
Figment Networks,"Infrastructure,Validators",Delegate with Experienced Proof of Stake Operators.,https://awesomenear.com/figment,NEAR,,https://awesome-near.s3.amazonaws.com/figment.jpg,https://figment.io,,https://wallet.near.org/staking/figment.poolv1.near,,,https://twitter.com/Figment_io,https://github.com/figment-networks,,https://discord.com/invite/fszyM7K,,https://medium.com/figment,,,,,," Figment is the open source crypto network operator. We provide access and research to a growing portfolio of new and groundbreaking digital assets. We perform the research and due diligence to ensure the quality and sustainability of the underlying assets, and to continually build the right infrastructure that makes participating in these assets simple. Our staking infrastructure is built from the ground up with security and reliability in mind. We take security seriously so you can delegate with ease and peace of mind. We build and share tools for the community to learn about network health and performance so you can make better decisions about where to stake your crypto-assets. For example, we offer tools like Hubble (a node/validation performance reporting tool for Cosmos) as well as validator nodes within the Cosmos Network and Tezos Network.",,
Aurora+,"Aurora,DApps,Infrastructure",New membership program for Aurora.,https://awesomenear.com/aurora-plus,AURORA,,https://awesome-near.s3.amazonaws.com/aurora-plus.jpg,https://aurora.plus/,,,,,https://twitter.com/auroraisnear,,,,,,,,,,," Aurora+ is an exciting new membership program for users of Aurora, that provides a suite of incredible benefits. Available today, all Aurora users can sign up for a free Basic account, including: Those are the benefits available today. In the future, Aurora will continue to evolve the Aurora+ platform with foreseen features like: Aurora is working to optimize the user experience not only for its users, but for its ecosystem apps and platforms as well.",,https://awesomenear.com/articles/aurora-vote-token;https://awesomenear.com/articles/aurora-plus-release
Ref Analytics,"Analytics,DeFi,Utilities",Data & Analytics on Ref Finance.,https://awesomenear.com/ref-analytics,NEAR,,https://awesome-near.s3.amazonaws.com/ref-analytics.jpg,https://stats.ref.finance/,,,,,,,,,,,,,,,," Ref Analytics (Sodaki) is a minimal data analytics web app, built on top of Ref Finance, the first Uniswap-like and multi-purpose Decentralized Finance (DeFi) platform on NEAR Protocol.",,
DeHive,"DApps,DeFi",Yield Generating Indexes and Autocompounding Staking Pools.,https://awesomenear.com/dehive,"COMING SOON,NEAR",(DHV),https://awesome-near.s3.amazonaws.com/dehive.jpg,https://dehive.finance/,,,https://app.dehive.finance/,,https://twitter.com/dehive_finance,https://github.com/DeHive-finance,https://t.me/DeHive_chat,https://discord.com/invite/RPFC5vw5HV,,https://medium.com/dehive,,,,,," DeHive provides the first-to-market decentralized crypto index protocol. The platform allows anyone to become a holder of the top DeFi tokens packed into one Cluster. This Cluster can be perceived as an index that can farm. It comprises leading DeFi assets that serve as a benchmark for the economic health of the crypto market. The DeHive protocol uses an in-built system of oracles to ensure the acquisition of the selected tokens at the best market price. As a result, the Index is backed by a set of crypto assets in an optimal proportion for passive income generation. DeHive is a multi-chain platform and dev team works unstoppably over new integrations.",,
DefiLlama,"Analytics,Aurora,Infrastructure",Open and transparent DeFi TVL and analytics.,https://awesomenear.com/defillama,AURORA,,https://awesome-near.s3.amazonaws.com/defillama.jpg,https://defillama.com/chain/Aurora,,,,,https://twitter.com/DefiLlama,,https://t.me/defillama_tg,https://discord.com/invite/buPFYXzDDd,,,,,,,, DefiLlama is the largest TVL aggregator for DeFi (Decentralized Finance). Our data is fully open-source and maintained by a team of passionate individuals and contributors from hundreds of protocols. Our focus is on accurate data and transparent methodology. We track over 800 DeFi protocols from over 80 different blockchains.,,
Mecha Tracker,"Aurora,DApps,DeFi,Launchpads",One-stop-shop on Aurora.,https://awesomenear.com/mecha-tracker,AURORA,(MECHA),https://awesome-near.s3.amazonaws.com/mecha-tracker.jpg,https://www.mechatracker.finance/,,,,,https://twitter.com/Mecha_Tracker,https://github.com/Mecha-Tracker,,,,https://medium.com/@mechatracker,,,https://aurorascan.dev/address/0xa33C3B53694419824722C10D99ad7cB16Ea62754,,," Mecha Tracker aims to be the most complete, easy, and friendly one-stop shop in the Aurora Network. Let us talk you thru our present and our future. The idea started as we detected the biggest problem to date on Aurora. Most of Aurora's projects are siloed from one another. There is no easy way to know your consolidated balance or current position sizes without actually visiting each website individually and understanding what is happening with your portfolio. Unfortunately, performance is usually still left to an old-fashioned excel spreadsheet. The idea of Mecha was born to solve that. Mecha has an already working portfolio visualization platform that aggregates all LPs, tokens, farms, and positions that a user may have associated with their wallet and displays it on a seamless interactive dashboard.",,
Dokia Capital,"Infrastructure,Validators",Knowledge is the most democratic SOURCE OF POWER.,https://awesomenear.com/dokia-capital,NEAR,,https://awesome-near.s3.amazonaws.com/dokia-capital.jpg,https://dokia.capital,,https://wallet.near.org/staking/dokiacapital.poolv1.near,,,https://twitter.com/DokiaCapital,,,,,https://medium.com/dokia,,,,,," We empower networks and tech visionaries. Entirely focused on blockchain powered technologies. We fund technologies that will power a better, fairer and more sustainable future. We guide and help teams optimize their operations and processes.",,
Sarcophagus,"DAO,OWC",A Decentralized Dead Man’s Switch.,https://awesomenear.com/sarcophagus,NEAR,(SARCO),https://awesome-near.s3.amazonaws.com/sarcophagus.jpg,https://sarcophagus.io/,,,,,https://twitter.com/sarcophagusio,https://github.com/sarcophagus-org,https://t.me/sarcophagusio,https://discord.com/invite/XPNKEZW,,https://medium.com/sarcophagus,,,,,," Sarcophagus, a decentralized dead man's switch application built on Ethereum and Arweave. When creating Sarcophagus, we wanted to keep a few megatrends in mind. One of the most important trends of our era is the shift from conventional warfare to digital. During the Cold War, superpowers fought by displaying military might and funding small proxy wars. In the late 20th century through today, superpowers wage wars against specific ideologies. As we enter the next phase of human warfare, we will see a shift in power dynamics from use of raw materials and human labor to human creativity and innovation. Human innovation has forever advanced warfare, and individuals like Mikhail Kalashnikov and John Browning have invented weapons that thrive today largely unchanged. We'd like to think that the world in which Kalashnikov invented the AK-47 (1947) or when Browning released the M1911 (1911) was wildly different from the world we live in today. But we’d be wrong. We may have more powerful weapons, global air travel, and instant communications, but the driving forces behind these innovations haven’t changed. We still experience the same strife, hunger and subjugation. Our goal in creating Sarcophagus is to hand back a little bit of power to the person with nothing more than an internet connection. We want the creative forces of warfare to err in favor of the individual, and we believe that the power of decentralization mixed with strong cryptography is the best way to achieve this goal. Stuxnet was a masterpiece, and it was unveiled to the public in 2010 - the same year Instagram was founded and the iPhone 4 was released. The tech world has changed a lot since then, and so has the crypto landscape. Since digital warfare does not require the same natural resources or financial expenditures as traditional warfare, we expect a playing field that is more egalitarian than the military powers of the late 20th century. Digital weapons are created, bought, and sold in a different type of market than before. Digital arms don’t get delivered by transport plane stamped with a country of origin; they move anonymously on the dark web. We think of Sarcophagus as a tool in a personal digital arsenal. It may not hold the same significance as the rifle on a soldier’s back; but neither does a cellphone. They are both important tools that are owned by billions. Either might save your life.",,
NEAR Misfits,"Collectibles,NFT",Generative PFP project on NEAR.,https://awesomenear.com/near-misfits,NEAR,,https://awesome-near.s3.amazonaws.com/near-misfits.jpg,https://misfit.netlify.app/,,,,,https://twitter.com/NEARMisfits,,,https://discord.com/invite/mrzTS66agD,,,,,,,," Introducing NEAR Misfits (Gen 0) 10,000 brave souls set out into the vast unknown to explore the Metaverse... Only 1,923 survived. These Misfits are part of a Decentralised Special Operations crew from all over the world and all walks of life. A group of humans rising to the challenge of their times, coming together to build the Metaverse: challenge the status quo, push the boundaries of what is possible, build and contribute to enabling technology. All Misfits are equal, but some are more equal than others! Amongst the 1923 Misfits there are 1600 Normies, 150 Zombies, 101 Skeletons (‘Skellies’), 50 Nearkats and the most rare of them all - 22 Glitched! Each one of these cohorts have a unique story, which we will unveil soon…",,
NEARNauts,"Collectibles,NFT",A GENERATIVE PROJECT ON THE NEAR NETWORK.,https://awesomenear.com/nearnauts,NEAR,,https://awesome-near.s3.amazonaws.com/nearnauts.jpg,https://www.nearnauts.io/,,,,,https://twitter.com/nearnauts,,,https://discord.com/invite/t8d8xdPsJm,,,,,,,, A generative PFP project on the $NEAR Network. 10K randomly generated NEARNauts for mint with no bonding curve.,,
NEAR Hub,"DApps,Metaverse,Gaming",Your portal to everything NEAR.,https://awesomenear.com/near-hub,NEAR,,https://awesome-near.s3.amazonaws.com/near-hub.jpg,https://nearhub.online/,,,,,https://twitter.com/NEARHub_online,,,,,,,,,,, Welcome to NEAR Hub Online! Very soon you will be able to login to connect to everything related to NEAR Protocol. Find hidden games and prizes inside. Get first shot at airdrops and new features. See you inside.,,
OP Games,"Dev Tooling,Gaming,OWC",Competitive game tournaments made easy.,https://awesomenear.com/opgames,NEAR,,https://awesome-near.s3.amazonaws.com/opgames.jpg,https://opgames.org/,,,,https://www.facebook.com/OPGamesCrypto,https://twitter.com/OPGames_,,https://t.me/opgamesofficial,https://discord.com/invite/opgames,,https://opgames.medium.com/,,,,,," OPGames is a suite of tools that enables game developers to transform their single player game of skills into a multiplayer tournament with crypto payouts. Investors: Lonely Capital, Cointelligence Fund, Mentha Partners, Jsquare, Everest Ventures Group, Double Peak, Momentum 6, OKX Blockdream Ventures, DeFi Alliance, Mechanism Capital, 3Commas Capital. Longhash Ventures, ExNetwork, Lotus Capital, SevenX Ventures, GFS Ventures, Genblock Capital, LD Capital, Polygon Studios, Morningstar Ventures, Ascensive Asset Management, Republic, Bitcoin.com",,
Pixelparty,"DApps,NFT,Collectibles",NFT on the NEAR Blockchain with a total supply of only 600 tokens.,https://awesomenear.com/near-pixelparty,NEAR,,https://awesome-near.s3.amazonaws.com/near-pixelparty.jpg,https://www.near-pixelparty.co,,,,,,,,https://discord.com/invite/xFAAa8Db6f,,,,,,,," Pixelparty is kind of a NFT on the NEAR Blockchain with a total supply of only 600 tokens. Each token represents a subframe of the Pixelparty-Frame. Each token you own authorizes you to draw the frame (20x20px) you own in the way you want and be a part of the big picture. You can just draw something you like or even could buy several connecting frame and use it to advertise for something. Additionally we will make an announcement for a new bigger NFT project later this year and all Frame-Owner at the moment of the announcement, will get a free NFT Token at the new project! Take your chance! Connect your wallet via login, look in the ""Frames on Sale""-Area for available frames and buy the frame you like. While hovering over the buy button, the associated frame will highlight on the Pixelparty-Board. Afterwards the frame appears in the ""Your Frames""-Area and you can draw whatever you want! In case you don't want your frame(s) anymore, you can put them on the marketplace at any time and for the price you want.",,
WebAssembly Music,"Collectibles,DApps,Music,NFT",Music stored on-chain as Non-Fungible Token.,https://awesomenear.com/webassembly-music,"COMING SOON,NEAR",,https://awesome-near.s3.amazonaws.com/webassembly-music.jpg,https://petersalomonsen.com/nftmusic/2/,,,,,,,,,,,,,,,," WebAssembly Music is the first music stored in a blockchain as a Non-Fungle Token (NFT). Music published on NEAR Protocol. FREE listening (no login required). All stored in a 40kb WebAssembly binary.  Created by Peter Salomonsen. The track, which you can listen to at soundcloud (and other places), was one of the first pieces of music rendered to an ""executable"" WebAssembly binary. By using a WebAssembly runtime to execute the wasm binary file, you will get raw audio data in the output that you can open in an audio editor. This was demonstrated at the WebAssembly Summit 2020. Instructions can also be found in the zip file that is available for download from this web-page to the token owner. Note that since this is stored on-chain, it is not protected from others to see or get. However you'll get the rights as found in the LICENSE.txt file that is part of the zip archive stored with this NFT. Also the smart contract will recognize your account as the owner of the NFT.",,
Chainlink,"Dev Tooling,Infrastructure,Oracles",Reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain.,https://awesomenear.com/chainlink,"NEAR,AURORA",(LINK),https://awesome-near.s3.amazonaws.com/chainlink.jpg,https://chain.link/,https://app.ref.finance/#wrap.near|514910771af9ca656af840dff83e8264ecf986ca.factory.bridge.near,,,,https://twitter.com/chainlink,https://github.com/smartcontractkit/chainlink,https://t.me/chainlink,,,https://medium.com/chainlink/,,https://explorer.near.org/accounts/514910771af9ca656af840dff83e8264ecf986ca.factory.bridge.near,,,," Chainlink is blockchain middleware that allows smart contracts to access key off-chain resources like data feeds, various web APIs, and traditional bank account payments. By providing smart contracts secure access to these key resources, ChainLink allows them to mimic real world agreements that require external proof of performance and need to make payment in widely available payment methods e.g. bank payments. The Chainlink Network is a decentralized network of ChainLink Nodes, which are all selling usage of specific data feeds, APIs and various off-chain payment capabilities directly to a smart contract. Any data, payments, e-signature, or other API provider, as well as individual developers, can easily join the network by connecting an API they're familiar with. Once the API they'd like to offer to smart contracts is connected to a ChainLink, they become a ChainLink Node Operator, responsible for keeping that API connected to the ChainLink Network and being compensated in LINK for their successful fulfillment of on-chain requests. The LINK token is an EIP20 token with additional ERC667 functionality. The total supply of the token is 1,000,000,000, and each token is divisible up to 18 decimal places. To prevent accidental burns, the token does not allow transfers to the contract itself and to 0x0.",,https://awesomenear.com/articles/aurora-is-integrating-chainlink-price-feeds;https://awesomenear.com/articles/near-bringing-chainlink-leading-oracle-solution-to-its-open-web-ecosystem
Illust Space,"NFT,DApps,Gaming,Metaverse",Building the augmented reality metaverse.,https://awesomenear.com/illust-space,NEAR,,https://awesome-near.s3.amazonaws.com/illust-space.jpg,https://illust.space/,,,,,https://twitter.com/illustspace,https://github.com/illustspace,,https://discord.com/invite/98qqje5,,,https://illust.gitbook.io/illust-ar/,,,,," Illustrative Spaces or Illust Space for short is a Non Fungible Token marketplace and metaverse that allows collectors and artists to display their digital artwork in the real world. Illust Space uses 3 (soon 4) key properties to do this: ,App.Illust.Space: the marketplace for buying and selling digital and 3d artwork (augmented reality).,AR.Illust.Space: the map where art collectors can place their digital objects to be viewable in reality.,Illust.Space: the exhibition and news site for the platform bringing awareness to the technology.,Illustrate Studio: self serve minting and AR scene publishing tool for artists.. Illust Space is different from traditional metaverses in that it believes the biggest, most vibrant metaverse is the one that exists in the real world. Using blockchain technology and augmented reality, artists have a brand new canvas for content creation and expression.",,
HASH RUSH,"DApps,Gaming,OWC",Online sci-fi/fantasy RTS set in the fictional Hermeian galaxy.,https://awesomenear.com/hash-rush,NEAR,,https://awesome-near.s3.amazonaws.com/hash-rush.jpg,https://hashrush.com/,,,,https://www.facebook.com/HashRushGame/,https://twitter.com/PlayHashRush,,https://t.me/hashrushofficial,https://discord.com/invite/4YMBHbw,,https://medium.com/vz-games,https://vz-games-1.gitbook.io/hash-rush/,,,,," HASH RUSH unites the worlds of play-to-earn and real-time strategy gaming, unites the worlds of crypto and RTS gaming. For the first time ever, this combination allows gamers to compete for cryptocurrency and other rewards. HASH RUSH is an online sci-fi/fantasy RTS set in the fictional Hermeian galaxy, Hash Rush sees players build, fight and trade their way to victory as they grow and manage their small mining colony, battle monsters, and trade valuable items and resources.",,
